uid,contractUid,number,dateSigned,type,title,amountValue,description,url
2019-050-13/і/209,050-13/і/209,15,2024-10-25,Додаткова угода,Додаткова угода № 15 до Інвестиційного договору № 050-13/і/209,null,Додатковою угодою внесено зміни до Додатку 1 до інвестиційного договору,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_zhovten_2024/dodatkova_ugoda_vid_25102024__15_do_investitsiynogo_dogovoru_vid_050-13_i_209/
2019-050-13/і/209,050-13/і/209,16,2025-02-05,Додаткова угода,Додаткова угода № 16 до Інвестиційного договору № 050-13/і/209,null,Додатковою угодою внесено зміни до Додатку 1 до інвестиційного договору,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2025/dodatkova_ugoda_vid_05022025__16_do_investitsiynogo_dogovoru_vid_27112019__050-13_i_209/
2020-050-13/і/215,050-13/і/215,1,2020-12-29,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/215,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
2020-050-13/і/215,050-13/і/215,2,2021-06-08,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/215,null,Додатковою угодою продовжено строк облаштування об'єкту інвестування та затверджено графік реалізації інвестиційного проєкту з новим строком,null
2020-050-13/і/215,050-13/і/215,3,2023-09-28,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/215,null,Додатковою угодою визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2020-050-13/і/216,050-13/і/216,1,2021-01-20,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
2020-050-13/і/216,050-13/і/216,2,2021-06-29,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою продовжено строк облаштування об'єкту інвестування та затверджено графік реалізації інвестиційного проєкту з новим строком,null
2020-050-13/і/216,050-13/і/216,3,2022-08-08,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою продовжено строк облаштування об'єкту інвестування та затверджено графік реалізації інвестиційного проєкту з новим строком,null
2020-050-13/і/216,050-13/і/216,4,2023-07-07,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/216,null,"Додатковою угодою продовжено строк облаштування об'єкта інвестування, викладено в новій редакції графік реалізації інвестиційного проєкту, визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану",null
2020-050-13/і/216,050-13/і/216,5,2024-03-06,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою продовжено строк облаштування об'єкта інвестування та викладено в новій редакції графік реалізації інвестиційного проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_06032024__5_do_investitsiynogo_dogovoru_vid_14082020__050-13_i_216/
