uid,number,dateSigned,investorName,investorId,authorityName,authorityId,partiesName,partiesId,description,amountValue,startDate,endDate,status,url,text,legalActType,legalActTitle,legalActDate,legalActNumber,legalActUrl,publisherName,publisherId
2018-050-13/і/183,050-13/і/183,2018-11-01,ПП «Ясмін Трейд Компані»,41622545,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 12),null,2018-11-01,2028-11-01,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_12/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 12)»,2018-09-12,1664,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_12/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/184,050-13/і/184,2018-11-01,ПП «Ясмін Трейд Компані»,41622545,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 17),null,2018-11-01,2028-11-01,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_17/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 17)»,2018-09-12,1674,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_17/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/185,050-13/і/185,2018-11-01,ПП «Ясмін Трейд Компані»,41622545,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 18),null,2018-11-01,2028-11-01,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_18/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 18)»,2018-09-12,1673,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_18/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/186,050-13/і/186,2018-11-05,ТОВ «ЦІКАВА ЗНАХІДКА»,38203106,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство по утриманню зелених насаджень Шевченківського району м. Києва,31753249,Облаштування мотузкового парку на території парку «Сирецький» у Шевченківському районі,null,2018-11-05,2028-11-05,Чинний,https://old.kyivcity.gov.ua/done_img/f/%d0%a0%d0%9a%d0%9c%d0%94%d0%90-1246-09102017.PDF,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Облаштування мотузкового парку на території парку »Сирецький« у Шевченківському районі»,2018-10-08,1802,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_oblashtuvannya_motuzkovogo_parku_na_teritori_parku_siretskiy_u_shevchenkivskomu_rayoni/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/187,050-13/і/187,2018-11-09,ТОВ «КОРП МЕМОНТ»,42049022,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 14),null,2018-11-09,2028-11-09,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_14/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 14)»,2018-09-12,1672,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_14/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/188,050-13/і/188,2018-11-27,ТОВ «Еталон Сервіс ЛТД»,41735451,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 8),null,2018-11-27,2028-11-27,Чинний,https://kyivcity.gov.ua/npa/pro_provedennya_investitsiynikh_konkursiv_iz_zaluchennya_investoriv_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_334277/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 8)»,2018-06-04,950,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_8/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/189,050-13/і/189,2018-11-29,ТОВ «ГРАДУС-Т»,38746437,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 15),null,2018-11-29,2028-11-29,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_15/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 15)»,2018-09-12,1663,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_15/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/190,050-13/і/190,2018-11-29,ТОВ «ГРАДУС-Т»,38746437,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 27),null,2018-11-29,2028-11-29,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_27/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 27)»,2018-09-12,1666,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_27/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/191,050-13/і/191,2018-11-29,ТОВ «ГРАДУС-Т»,38746437,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 28),null,2018-11-29,2028-11-29,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_28/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 28)»,2018-09-12,1665,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_28/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
2018-050-13/і/192,050-13/і/192,2018-11-29,ТОВ «САН-ХОСЕ»,42139372,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) «Київпастранс»,31725604,Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 16),null,2018-11-29,2028-11-29,Чинний,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/kivska_miska_derzhavna_administratsiya_ogoloshuye_konkurs_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_16/,null,Розпорядження,Про затвердження переможця інвестиційного конкурсу із залучення інвестора до реалізації проекту «Комплекс заходів з благоустрою та облаштування зупинок громадського транспорту в місті Києві (Лот 16)»,2018-09-12,1667,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_peremozhtsya_investitsiynogo_konkursu_iz_zaluchennya_investora_do_realizatsi_proektu_kompleks_zakhodiv_z_blagoustroyu_ta_oblashtuvannya_zupinok_gromadskogo_transportu_v_misti_kiyevi_lot_16/,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
