uid,type,consumerType,unitAmountValue,unitAmountCurrency,unitName,status,providerName,providerId,validFrom,validThrough,legalActType,legalActTitle,legalActIssued,legalActNumber,legalActUrl,text,publisherName,publisherId
450,"послуга з постачання гарячої води, що виробляється за допомогою САТ, окремо для багатоквартирного будинку, без ВКО, вул. Михайла Максимовича, 7 протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,79.25,UAH,куб. м,Втратив чинність,КП «КИЇВТЕПЛОЕНЕРГО»,40538421,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії і постачання гарячої води КОМУНАЛЬНОМУ ПІДПРИЄМСТВУ ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»",2022-09-30,673,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_i_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_vikonavchogo_organu_kivradi/,null,Київська міська військова адміністрація,00022527
451,"послуга з постачання гарячої води, що виробляється за допомогою САТ, окремо для багатоквартирного будинку, без ВКО, вул. Шполянська, 6-а",населення,181.36,UAH,куб. м,Втратив чинність,КП «КИЇВТЕПЛОЕНЕРГО»,40538421,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії і постачання гарячої води КОМУНАЛЬНОМУ ПІДПРИЄМСТВУ ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»",2022-09-30,673,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_i_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_vikonavchogo_organu_kivradi/,null,Київська міська військова адміністрація,00022527
452,"послуга з постачання гарячої води, що виробляється за допомогою САТ, окремо для багатоквартирного будинку, без ВКО, вул. Шполянська, 6-а протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,97.89,UAH,куб. м,Втратив чинність,КП «КИЇВТЕПЛОЕНЕРГО»,40538421,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії і постачання гарячої води КОМУНАЛЬНОМУ ПІДПРИЄМСТВУ ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»",2022-09-30,673,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_i_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_vikonavchogo_organu_kivradi/,null,Київська міська військова адміністрація,00022527
453,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,населення,2087.48,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
454,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,1408.27,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
455,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,бюджетні установи,2319.79,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
456,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",бюджетні установи,1883.34,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
457,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,інші споживачі,2628.26,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
458,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",інші споживачі,1871.64,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
459,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,релігійні організації,2285.77,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
460,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",релігійні організації,1864.79,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
461,послуга з постачання теплової енергії без ЦТП без ІТП з ВКО,населення,2296.98,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
462,"послуга з постачання теплової енергії без ЦТП без ІТП з ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,1408.27,UAH,Гкал,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
463,послуга з постачання гарячої води без ЦТП без ІТП без ВКО,населення,108.01,UAH,куб. м,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
464,"послуга з постачання гарячої води без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,75.96,UAH,куб. м,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
465,послуга з постачання гарячої води без ЦТП без ІТП з ВКО,населення,117.23,UAH,куб. м,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
466,"послуга з постачання гарячої води без ЦТП без ІТП з ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,75.96,UAH,куб. м,Втратив чинність,ТОВ «ЄВРО-РЕКОНСТРУКЦІЯ»,37739041,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води Товариству з обмеженою відповідальністю «ЄВРО-РЕКОНСТРУКЦІЯ»",2022-09-30,674,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,Київська міська військова адміністрація,00022527
467,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,населення,2268.83,UAH,Гкал,Втратив чинність,ТОВ «КОМПАНІЯ «ТЕПЛО-СВІТ»,42006345,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послугу з постачання теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМПАНІЯ «ТЕПЛО-СВІТ»",2022-09-30,675,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugu_z_postachannya_teplovo_energi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_kompaniya_teplo-svit_971328/,null,Київська міська військова адміністрація,00022527
468,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,2177.30,UAH,Гкал,Втратив чинність,ТОВ «КОМПАНІЯ «ТЕПЛО-СВІТ»,42006345,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послугу з постачання теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМПАНІЯ «ТЕПЛО-СВІТ»",2022-09-30,675,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugu_z_postachannya_teplovo_energi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_kompaniya_teplo-svit_971328/,null,Київська міська військова адміністрація,00022527
469,послуга з постачання теплової енергії без ЦТП без ІТП без ВКО,інші споживачі,6533.95,UAH,Гкал,Втратив чинність,ТОВ «КОМПАНІЯ «ТЕПЛО-СВІТ»,42006345,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послугу з постачання теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМПАНІЯ «ТЕПЛО-СВІТ»",2022-09-30,675,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugu_z_postachannya_teplovo_energi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_kompaniya_teplo-svit_971328/,null,Київська міська військова адміністрація,00022527
470,"послуга з постачання теплової енергії без ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",інші споживачі,4651.63,UAH,Гкал,Втратив чинність,ТОВ «КОМПАНІЯ «ТЕПЛО-СВІТ»,42006345,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послугу з постачання теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КОМПАНІЯ «ТЕПЛО-СВІТ»",2022-09-30,675,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugu_z_postachannya_teplovo_energi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_kompaniya_teplo-svit_971328/,null,Київська міська військова адміністрація,00022527
471,послуга з постачання теплової енергії з ЦТП без ІТП без ВКО,населення,2274.65,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
472,"послуга з постачання теплової енергії з ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,1554.50,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
473,послуга з постачання теплової енергії з ЦТП без ІТП без ВКО,інші споживачі,6683.06,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
474,"послуга з постачання теплової енергії з ЦТП без ІТП без ВКО протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",інші споживачі,1554.50,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
475,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, вул. Котельникова, 1",населення,2579.90,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
476,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, вул. Котельникова, 1 протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,1554.50,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
477,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, вул. Котельникова, 1",інші споживачі,6905.87,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
478,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, вул. Котельникова, 1 протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",інші споживачі,1554.50,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
479,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, просп. Науки, 80-а/73",населення,1774.55,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
480,"послуга з постачання теплової енергії окремо для багатоквартирного будинку, обладнаного САТ, без ВКО, просп. Науки, 80-а/73 протягом дії воєнного стану в Україні та протягом шести місяців після місяця, в якому його буде припинено або скасовано",населення,1554.50,UAH,Гкал,Втратив чинність,КП з утримання та експлуатації житлового фонду «Житло-сервіс»,31025659,2022-10-01,2023-09-30,Розпорядження,"Про встановлення тарифів на теплову енергію,виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з постачання теплової енергії та постачання гарячої води комунальному підприємству з експлуатації і ремонту житлового фонду «Житло-сервіс»",2022-09-30,676,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyuvirobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_postachannya_teplovo_energi_ta_postachannya_garyacho_vodi_komunalnomu_pidpriyemstvu_z_ekspluatatsi_i_remontu_zhi/,null,Київська міська військова адміністрація,00022527
