uid,type,consumerType,unitAmountValue,unitAmountCurrency,unitName,status,providerName,providerId,validFrom,validThrough,legalActType,legalActTitle,legalActIssued,legalActNumber,legalActUrl,text,publisherName,publisherId
11,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,87.73,UAH,куб. м,Втратив чинність,ТОВ «Експлуатаційна компанія «Комфорт-Майстер»,35899928,2019-01-09,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Експлуатаційна компанія «Комфорт-Майстер»",2018-12-20,2322,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho__vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_ekspluatatsiyna_kompaniya_komfort-mayster/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
12,централізоване постачання гарячої води у разі відсутності рушникосушильників,населення,80.29,UAH,куб. м,Втратив чинність,ТОВ «Експлуатаційна компанія «Комфорт-Майстер»,35899928,2019-01-09,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Експлуатаційна компанія «Комфорт-Майстер»",2018-12-20,2322,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho__vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_ekspluatatsiyna_kompaniya_komfort-mayster/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
13,централізоване опалення,населення,1285.96,UAH,Гкал,Втратив чинність,ТОВ «ЖИТЛО-СЕРВІС»,30167045,2017-11-14,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЖИТЛО-СЕРВІС»",2017-10-25,1320,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_p/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
14,централізоване опалення,населення,25.38,UAH,кв. м,Втратив чинність,ТОВ «ЖИТЛО-СЕРВІС»,30167045,2017-11-14,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЖИТЛО-СЕРВІС»",2017-10-25,1320,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_p/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
15,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,78.53,UAH,куб. м,Втратив чинність,ТОВ «ЖИТЛО-СЕРВІС»,30167045,2017-11-14,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЖИТЛО-СЕРВІС»",2017-10-25,1320,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_p/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
16,централізоване постачання гарячої води у разі відсутності рушникосушильників,інші споживачі,99.76,UAH,куб. м,Втратив чинність,ТОВ «ЖИТЛО-СЕРВІС»,30167045,2017-11-14,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат з проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії ТОВАРИСТВУ З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЖИТЛО-СЕРВІС»",2017-10-25,1320,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_z_provedennya_p/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
17,централізоване опалення,населення,690.54,UAH,Гкал,Втратив чинність,ДЕРЖАВНЕ ПІДПРИЄМСТВО ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ,19477064,2016-04-12,null,Розпорядження,"Про встановлення тарифів на виробництво теплової енергії, послугу з централізованого опалення ДЕРЖАВНОМУ ПІДПРИЄМСТВУ ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ",2016-03-17,154,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_virobnitstvo_teplovo_energi_poslugu_z_tsentralizovanogo_opalennya_derzhavnomu_pidpriyemstvu_obslugovuvannya_povitryanogo_rukhu_ukrani_331220/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
18,централізоване опалення,населення,9.85,UAH,кв. м,Втратив чинність,ДЕРЖАВНЕ ПІДПРИЄМСТВО ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ,19477064,2016-04-12,null,Розпорядження,"Про встановлення тарифів на виробництво теплової енергії, послугу з централізованого опалення ДЕРЖАВНОМУ ПІДПРИЄМСТВУ ОБСЛУГОВУВАННЯ ПОВІТРЯНОГО РУХУ УКРАЇНИ",2016-03-17,154,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_virobnitstvo_teplovo_energi_poslugu_z_tsentralizovanogo_opalennya_derzhavnomu_pidpriyemstvu_obslugovuvannya_povitryanogo_rukhu_ukrani_331220/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
19,централізоване опалення,населення,1310.85,UAH,Гкал,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
20,централізоване опалення,населення,18.54,UAH,кв. м,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
