facility_id,osm_ref,category,subtype,name,operator,ownership,addr_street,addr_housenumber,grid_id,power_source_id,power_source_name,power_zone_id,power_connection_type,backup_power,backup_power_capacity_kw,dependency_confidence,dependency_notes,source
osm_relation_11369838,relation/11369838,education,kindergarten,,,,,,kyiv_grid_04_02,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5509188,relation/5509188,education,kindergarten,,,,вулиця Вахтанга Кікабідзе,10,kyiv_grid_03_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1015778,relation/1015778,education,kindergarten,,,,вулиця Симиренка,2-А,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_6366880,relation/6366880,education,kindergarten,,,,бульвар Жуля Верна,9-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5249544,relation/5249544,education,kindergarten,,,,вулиця Академіка Кіпріанова,4-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_18637118,relation/18637118,education,kindergarten,,,,Жмеринська вулиця,26-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5259420,relation/5259420,education,kindergarten,,,,вулиця Героїв Космосу,15-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_3483808,relation/3483808,education,kindergarten,,,,Спартаківська вулиця,1-А,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_3483812,relation/3483812,education,kindergarten,,,,вулиця Феодори Пушиної,52,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1727455,relation/1727455,education,kindergarten,,,,,,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_5474996,relation/5474996,education,kindergarten,,,,Львівська вулиця,5,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2012824,relation/2012824,education,kindergarten,,,,проспект Академіка Глушкова,55-А,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_6588414,relation/6588414,education,kindergarten,,,,проспект Академіка Глушкова,41-Б,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1556544,relation/1556544,education,kindergarten,,,,вулиця Героїв Маріуполя,1-А,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1556545,relation/1556545,education,kindergarten,,,,вулиця Героїв Маріуполя,1-Б,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1556546,relation/1556546,education,kindergarten,,,,вулиця Героїв Маріуполя,1,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2185103,relation/2185103,education,kindergarten,,,,вулиця Академіка Заболотного,70-А,kyiv_grid_04_02,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2185105,relation/2185105,education,kindergarten,,,,вулиця Академіка Заболотного,114-А,kyiv_grid_04_02,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2012619,relation/2012619,education,kindergarten,,,,Деміївська вулиця,49,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2185109,relation/2185109,education,kindergarten,,,,Відрадний проспект,30-А,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_4200444,relation/4200444,education,kindergarten,,,,,,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1610951,relation/1610951,education,kindergarten,,,,Голосіївська вулиця,4-А,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
