source,package_id,package_name,package_title,category,resource_id,resource_name,format,url,status,bytes_or_records,local_path,error
kyivcity,1c960324-42e4-4325-bedc-66e87a642d37,dani-pro-dostupnist-budivel-dlia-osib-z-invalidnistiu-ta-inshykh-malomobil-dep-social-veteran-policy,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,protection,eb2ebc55-97a2-4a97-836e-b4ef0353f254,entertainmentFacilitiesAccessibility,GeoJSON,https://gisserver.kyivcity.gov.ua/mayno/rest/services/KYIV_API/Map_of_avaibility/MapServer/4/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=4326&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,1c960324-42e4-4325-bedc-66e87a642d37,dani-pro-dostupnist-budivel-dlia-osib-z-invalidnistiu-ta-inshykh-malomobil-dep-social-veteran-policy,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,protection,a9dbf5fc-f637-45e0-8bb3-eb1da3195fc5,educationalInstitutionsAccessibility,GeoJSON,https://gisserver.kyivcity.gov.ua/mayno/rest/services/KYIV_API/Map_of_avaibility/MapServer/3/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=4326&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,1c960324-42e4-4325-bedc-66e87a642d37,dani-pro-dostupnist-budivel-dlia-osib-z-invalidnistiu-ta-inshykh-malomobil-dep-social-veteran-policy,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,protection,c6004b1f-ea6e-49d6-a5a5-899e10875731,healthcareInstitutionsAccessibility,GeoJSON,https://gisserver.kyivcity.gov.ua/mayno/rest/services/KYIV_API/Map_of_avaibility/MapServer/2/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=4326&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,1c960324-42e4-4325-bedc-66e87a642d37,dani-pro-dostupnist-budivel-dlia-osib-z-invalidnistiu-ta-inshykh-malomobil-dep-social-veteran-policy,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,protection,e28820b3-d99a-4bc4-9d20-aa7c157ca75a,sheltersAccessibility,GeoJSON,https://gisserver.kyivcity.gov.ua/mayno/rest/services/KYIV_API/Map_of_avaibility/MapServer/1/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Foot&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=4326&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,1c960324-42e4-4325-bedc-66e87a642d37,dani-pro-dostupnist-budivel-dlia-osib-z-invalidnistiu-ta-inshykh-malomobil-dep-social-veteran-policy,Дані про доступність будівель для осіб з інвалідністю та інших маломобільних груп населення,protection,a9028c20-acd7-42ed-8677-659151c37cfd,serviceProvidersAccessibility,GeoJSON,https://gisserver.kyivcity.gov.ua/mayno/rest/services/KYIV_API/Map_of_avaibility/MapServer/0/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=4326&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,c2dbed91-31ac-4b4a-9114-cdc0097ea36b,dani-pro-medychne-obladnannia-komunalnykh-zakladiv-okhorony-zdorovia-dep-health,Дані про медичне обладнання комунальних закладів охорони здоров’я,health,6e465bfe-25a6-4911-b0b3-f9e5da6f1d1f,equipment.csv,CSV,https://data.kyivcity.gov.ua/dataset/c2dbed91-31ac-4b4a-9114-cdc0097ea36b/resource/6e465bfe-25a6-4911-b0b3-f9e5da6f1d1f/download/equipment.csv,already_exists,74596,data/kyiv_resilience_data/kyivcity/dani-pro-medychne-obladnannia-komunalnykh-zakladiv-okhorony-zdorovia-dep-health/equipment_6e465bfe-25a6-4911-b0b3-f9e5da6f1d1f.csv,
kyivcity,3870075f-4f65-4656-a125-4648ae220c3d,dani-pro-mistse-rozmishchennia-zupynok-miskoho-elektrychnoho-ta-avtomobilnoho-transpor-dep-transport,Дані про місце розміщення зупинок міського електричного та автомобільного транспорту,transport,269ffb2e-dac0-4978-9552-10d29a30724b,31725604_stops,JSON,https://data.kyivcity.gov.ua/dataset/3870075f-4f65-4656-a125-4648ae220c3d/resource/269ffb2e-dac0-4978-9552-10d29a30724b/download/31725604_stops.json,already_exists,3236639,data/kyiv_resilience_data/kyivcity/dani-pro-mistse-rozmishchennia-zupynok-miskoho-elektrychnoho-ta-avtomobilnoho-transpor-dep-transport/31725604_stops_269ffb2e-dac0-4978-9552-10d29a30724b.json,
kyivcity,3870075f-4f65-4656-a125-4648ae220c3d,dani-pro-mistse-rozmishchennia-zupynok-miskoho-elektrychnoho-ta-avtomobilnoho-transpor-dep-transport,Дані про місце розміщення зупинок міського електричного та автомобільного транспорту,transport,c6f814de-7364-4ac9-937f-1d6956f0f977,stopsKyivCityExpress,GeoJSON,https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/10/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,3870075f-4f65-4656-a125-4648ae220c3d,dani-pro-mistse-rozmishchennia-zupynok-miskoho-elektrychnoho-ta-avtomobilnoho-transpor-dep-transport,Дані про місце розміщення зупинок міського електричного та автомобільного транспорту,transport,984462ae-86cd-40b8-a3f5-68064a97408d,stopsFuniculer,GeoJSON,https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/7/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
kyivcity,3870075f-4f65-4656-a125-4648ae220c3d,dani-pro-mistse-rozmishchennia-zupynok-miskoho-elektrychnoho-ta-avtomobilnoho-transpor-dep-transport,Дані про місце розміщення зупинок міського електричного та автомобільного транспорту,transport,813c6ebc-4ed6-4743-91ba-503e93f009c9,stopsUndergroundExits,GeoJSON,https://gisserver-stage.kyivcity.gov.ua/mayno/rest/services/KYIV_API/transport_public/MapServer/3/query?where=1%3D1&text=&objectIds=&time=&timeRelation=esriTimeRelationOverlaps&geometry=&geometryType=esriGeometryEnvelope&inSR=&spatialRel=esriSpatialRelIntersects&distance=&units=esriSRUnit_Meter&relationParam=&outFields=*&returnGeometry=true&returnTrueCurves=false&maxAllowableOffset=&geometryPrecision=&outSR=&havingClause=&returnIdsOnly=false&returnCountOnly=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&returnZ=false&returnM=false&gdbVersion=&historicMoment=&returnDistinctValues=false&resultOffset=&resultRecordCount=&returnExtentOnly=false&sqlFormat=none&datumTransformation=&parameterValues=&rangeValues=&quantizationParameters=&uniqueIds=&returnUniqueIdsOnly=false&featureEncoding=esriDefault&f=geojson,error,,,<HTTPError 404: 'Not Found'>
