uid,landfillName,startYear,balanceHolderName,balanceHolderId,workingHours,wasteType,tariff,unitOfMeasure,currencyCode,tariffsDescription,protectionName,protectionId,landfillArea,usedArea,prohibitedWaste,contractsEnterprisesName,contractsEnterprisesId,vehicleCapacity,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,landfillLat,landfillLon
86-5-п,Полігон твердих побутових відходів № 5,1986,ПрАТ «Київспецтранс»,02772037,null,"тверді побутові відходи, промислові відходи",288.90,tonne,UAH,Тариф застосовується до твердих побутових відходів,null,null,652000.00,null,"небезпечні відходи, відходи від зелених насаджень",null,null,null,UA32120070100026593,08710,Україна,Київська область,Обухівський район,Козинська,Підгірці,null,null,null,null,null,null,null
92-6-п,Полігон великогабаритних та будівельних відходів № 6,1992,ПрАТ «Київспецтранс»,02772037,null,"великогабаритні відходи, будівельні відходи",267.28,tonne,UAH,Тариф застосовується до великогабаритних відходів,null,null,350000.00,null,"небезпечні відходи, відходи від зелених насаджень",null,null,null,UA80000000000126643,03026,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Пирогівський шлях,94/96,null,null,null,null
88-п,Структурний підрозділ «Завод Енергія» комунального підприємства виконавчого органу Київради (Київської міської державної адміністрації) «КИЇВТЕПЛОЕНЕРГО»,1988,Комунальне підприємство виконавчого органу Київради (Київської міської державної адміністрації) «КИЇВТЕПЛОЕНЕРГО»,40538421,null,побутові відходи,192.00,m3,UAH,З ПДВ,null,null,88282.20,null,"вибухонебезпечні, радіоактивні, легкозаймисті, токсичні, інфекційні, будівельні, великогабаритні, горілі матеріали, пилоподібні, металеві предмети, відходи переробки сільськогосподраських продуктів, трупи тварин, одяг, взуття, автомобільні шини",null,null,null,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький,вул. Колекторна,44,null,null,null,null
