"package_id","package_name","group_name","group_type","medical_program"
47,"Хірургічні операції дорослим та дітям в умовах стаціонару одного дня","Стаціонарні послуги загального профілю","Спеціалізована","Програма медичних гарантій"
48,"Неонатальний скринінг","Спеціальні дослідження","Спеціалізована","Програма медичних гарантій"
49,"Забезпечення збереження кадрового потенціалу для надання медичної допомоги","Збереження кадрового потенціалу","Спеціалізована","Програма медичних гарантій"
50,"Забезпечення кадрового потенціалу системи охорони здоров'я шляхом організації надання медичної допомоги із залученням лікарів-інтернів","Збереження кадрового потенціалу","Спеціалізована","Програма медичних гарантій"
51,"Супровід і лікування дорослих та дітей з психічними розладами на первинному рівні медичної допомоги","Психіатрична допомога","Спеціалізована","Програма медичних гарантій"
52,"Комплексна реабілітаційна допомога дорослим та дітям в стаціонарних умовах","Медична реабілітація","Спеціалізована","Програма медичних гарантій"
53,"Реабілітаційна допомога дорослим і дітям у стаціонарних умовах","Медична реабілітація","Спеціалізована","Програма медичних гарантій"
54,"Реабілітаційна допомога дорослим і дітям у амбулаторних умовах","Медична реабілітація","Спеціалізована","Програма медичних гарантій"
55,"Секційне дослідження","Спеціальні дослідження","Спеціалізована","Програма медичних гарантій"
56,"Забезпечення збереження кадрового потенціалу для надання медичної допомоги населенню, яке перебуває на тимчасово окупованій території","Збереження кадрового потенціалу","Спеціалізована","Програма медичних гарантій"
57,"Готовність та забезпечення надання медичної допомоги населенню, яке перебуває на території, де ведуться бойові дії","Забезпечення надання медичної допомоги в особливих умовах","Спеціалізована","Програма медичних гарантій"
58,"Хвороба Паркінсона","Реімбурсація","Реімбурсація","Програма медичних гарантій"
59,"Імуносупресивні лікарські засоби","Реімбурсація","Реімбурсація","Програма медичних гарантій"
60,"Медичний огляд осіб, який організовується територіальними центрами комплектування та соціальної підтримки","Амбулаторні послуги загального профілю","Спеціалізована","Програма медичних гарантій"
61,"Лікарські засоби для лікування болю та надання паліативної допомоги","Реімбурсація","Реімбурсація","Програма медичних гарантій"
62,"Медичні вироби для визначення рівня глюкози в крові","Реімбурсація","Реімбурсація","Програма медичних гарантій"
63,"Лікування безпліддя за допомогою допоміжних репродуктивних технологій (запліднення in vitro)","Допоміжні репродуктивні технології","Спеціалізована","Програма медичних гарантій"
64,"Лікування дорослих та дітей методом трансплантації органів","Трансплантація","Спеціалізована","Програма медичних гарантій"
65,"Лікування дорослих та дітей методом трансплантації гемопоетичних стовбурових клітин","Трансплантація","Спеціалізована","Програма медичних гарантій"
66,"Зубопротезування окремих категорій осіб, які захищають/захищали незалежність, суверенітет та територіальну цілісність України (група послуг №1)","Стоматологічна допомога","Спеціалізована","Інші програми"
67,"Стоматологічна допомога окремій категорії осіб, які захищають/захищали незалежність, суверенітет та територіальну цілісність України (група послуг №2)","Стоматологічна допомога","Спеціалізована","Інші програми"
68,"Перехідне фінансове забезпечення надання медичних послуг закладами охорони здоров'я","Перехідне фінансове забезпечення","Спеціалізована","Програма медичних гарантій"
69,"Додатковий перелік лікарських засобів (Постанова КМУ №1380 від 03.12.2024)","Реімбурсація","Реімбурсація","Програма медичних гарантій"
70,"Проведення досліджень з радіоізотопної медичної візуалізації та діагностики (позитронно-емісійної комп'ютерної томографії)","Спеціальні дослідження","Спеціалізована","Програма медичних гарантій"
