uid,organizationName,organizationId,description,type,additinalFacilities,availabilityType,price,currencyCode,paymentType,openingHours,availabilityRestriction,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon
29,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,Сповивальний столик,Маломобільні групи населення,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,пл. Контрактова,8,null,"напроти, в сквері № 1",50.46265,"30.51812"
30,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Велика Житомирська,26-Б,null,пейзажна алея,50.45619,"30.51138"
31,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Володимирська,24,null,біля Софіївської площі,50.45175,"30.51544"
32,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Володимирська,42,null,"біля ст. м. ""Золоті ворота""",50.44829,"30.51414"
33,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Прорізна,3,null,null,50.4478,"30.52084"
34,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Трьохсвятительська,8,null,верхня станція Київського фунікулера,50.45666,"30.5224"
35,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Хрещатик,17,null,null,50.4477,"30.5223"
36,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,null,null,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,вул. Хрещатик,27,null,null,50.4445,"30.52119"
37,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,Сповивальний столик,Маломобільні групи населення,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,пл. Львівська,14,null,напроти,50.45466,"30.50576"
38,"Спеціалізоване водогосподарське комунальне підприємство виконавчого органу Київської міської ради (Київської міської державної адміністрації) ""Київводфонд""",37292855,Автоматизована,Унісекс,Сповивальний столик,Маломобільні групи населення,10,UAH,Безготівковий,Пн-Нд 05:00-24:00,null,UA80000000000093317,null,Україна,місто Київ,null,null,Київ,просп. Володимирський 15 / вул.Михайлівська,null,null,сквер,50.45481,"30.52029"
